Exponential decaying data for betaDecay
time (s)   decays   uncertainty
  0.00       908         30
  3.00       769         28
  6.00       673         26
  9.00       606         25
 12.00       493         22
 15.00       413         20
 18.00       361         19
 21.00       312         18
 24.00       255         16
 27.00       274         17
 30.00       210         14
 33.00       173         13
 36.00       157         13
 39.00       147         12
 42.00       137         12
 45.00       100         10
 48.00        80          9
 51.00        68          8
 54.00        54          7
 57.00        74          9
 60.00        52          7
 63.00        44          7
 66.00        43          7
 69.00        25          5
 72.00        33          6
 75.00        21          5
 78.00        19          4
 81.00        17          4
 84.00        16          4
 87.00        18          4
 90.00         7          3
 93.00        11          3
