Data for absorption spectrum
Date: 21-Nov-2012
Data taken by P. Dubson and M. Skraps
time (ms)  signal  uncertainty
  0.2      41.1       0.9 
  1.4      37.2       0.9 
  2.7      28.3       0.9 
  3.9      24.8       1.1 
  5.1      27.8       0.8 
  6.4      34.5       0.7 
  7.6      39.0       0.9 
  8.8      37.7       0.8 
 10.1      29.8       0.9 
 11.3      22.2       0.7 
 12.5      22.3       0.6 
 13.8      26.7       1.1 
 15.0      30.4       0.7 
 16.2      32.6       0.8 
 17.5      28.9       0.8 
 18.7      22.9       1.3 
 19.9      21.7       0.9 
 21.1      22.1       1.0 
 22.4      22.3       1.0 
 23.6      26.3       1.0 
 24.8      26.2       0.8 
 26.1      21.4       0.9 
 27.3      20.0       1.0 
 28.5      20.1       1.2 
 29.8      21.2       0.5 
 31.0      22.0       0.9 
 32.2      21.6       0.7 
 33.5      21.0       0.7 
 34.7      19.7       0.9 
 35.9      17.9       0.9 
 37.2      18.1       0.8 
 38.4      18.9       1.1 
