Wavelength [vacuum] (nm) = 532,,
Refractive index of solvent = 1.33,,
Refractive index of particles = 1.59,,
Diameter of particles (microns) = 0.5,,
Cos_theta,F1,F2
1.00E+00,7.00E+01,7.00E+01
8.75E-01,2.71E+01,2.35E+01
7.50E-01,8.58E+00,6.80E+00
6.25E-01,1.87E+00,1.72E+00
5.00E-01,2.25E-01,5.21E-01
3.75E-01,3.04E-01,3.11E-01
2.50E-01,6.54E-01,2.36E-01
1.25E-01,7.98E-01,1.49E-01
0.00E+00,7.04E-01,7.63E-02
-1.25E-01,4.85E-01,4.06E-02
-2.50E-01,2.65E-01,3.64E-02
-3.75E-01,1.17E-01,4.59E-02
-5.00E-01,6.23E-02,5.79E-02
-6.25E-01,8.51E-02,7.63E-02
-7.50E-01,1.56E-01,1.20E-01
-8.75E-01,2.59E-01,2.18E-01
-1.00E+00,4.10E-01,4.10E-01
