Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Baltimore (BWI),Southwest Airlines,WN 8512,12:09 AM,,Landed,,,,
Baltimore (BWI),Mountain Air Cargo,C2 7304,12:10 AM,,Unknown,,,,
Paris (ORY),Norwegian Air Shuttle,DY 7192,12:30 AM,B,Landed,1:48 PM,,1:35 PM,
Paris (ORY),euroAtlantic Airways,YU 7192,12:30 AM,B,Landed,1:48 PM,,1:35 PM,
Rockford (RFD),UPS,5X 108,12:48 AM,,Unknown,,,,
Los Angeles (LAX),FedEx,FX 1026,1:15 AM,,Landed - On-time,4:07 AM,,,
Hong Kong (HKG),American Airlines,AA 8942,1:55 AM,B,Landed - On-time,5:01 AM,,5:30 AM,
Hong Kong (HKG),Cathay Pacific,CX 899,1:55 AM,B,Landed - On-time,5:01 AM,,5:30 AM,
Baltimore (BWI),Mountain Air Cargo,C2 8308,3:20 AM,,Landed - On-time,4:47 AM,,,
Atlanta (ATL),FedEx,FX 1988,3:25 AM,,Landed - Delayed,5:45 AM,,,
Orlando (MCO),FedEx,FX 1966,3:25 AM,,Landed - On-time,5:50 AM,,,
Detroit (DTW),FedEx,FX 1982,3:30 AM,,Landed - On-time,5:14 AM,,,
Middletown (MDT),Wiggins Airways,8307,3:30 AM,,Landed,,,,
Chicago (ORD),FedEx,FX 1950,3:30 AM,,Landed - On-time,4:51 AM,,,
Pittsburgh (PIT),FedEx,FX 1986,3:35 AM,,Landed - Delayed,5:03 AM,,,
Albany (ALB),Wiggins Airways,8413,3:37 AM,,Landed - On-time,,,,
Cleveland (CLE),FedEx,FX 1987,3:45 AM,,Landed - Delayed,5:40 AM,,,
Syracuse (SYR),Mountain Air Cargo,C2 8449,4:00 AM,,Landed,,,,
Boston (BOS),FedEx,FX 1989,4:08 AM,,Landed - On-time,4:46 AM,,,
Baltimore (BWI),Mountain Air Cargo,C2 8305,4:15 AM,,Landed - On-time,5:22 AM,,,
Dulles (IAD),FedEx,FX 1951,4:15 AM,,Landed - On-time,5:18 AM,,,
Albany (ALB),Wiggins Airways,8306,4:30 AM,,Diverted,6:12 AM,,,
Buffalo (BUF),Mountain Air Cargo,C2 8324,4:30 AM,,Landed - On-time,,,,
Providence (PVD),Wiggins Airways,8300,4:30 AM,,Landed,,,,
Hartford (BDL),Wiggins Airways,8303,4:45 AM,,Landed - On-time,5:35 AM,,,
Charlotte (CLT),American Airlines,AA 2763,5:00 AM,A,Landed - On-time,6:32 AM,,6:49 AM,
Denver (DEN),SAS,SK 6720,5:00 AM,C,Landed - On-time,6:59 AM,,7:18 AM,
Denver (DEN),United Airlines,UA 1084,5:00 AM,C,Landed - On-time,6:59 AM,,7:18 AM,
Providence (PVD),Wiggins Airways,8301,5:00 AM,,Landed - On-time,6:16 AM,,,
Austin (AUS),Southwest Airlines,WN 1781,5:10 AM,A,Canceled,,,8:10 AM,
Providence (PVD),Wiggins Airways,283,5:10 AM,,Landed,,,,
Dallas (DFW),American Airlines,AA 1134,5:12 AM,A,Landed - On-time,7:36 AM,,8:01 AM,
Plattsburgh (PBG),Wiggins Airways,8302,5:15 AM,,Landed - On-time,,,,
Boston (BOS),JetBlue Airways,B6 1280,5:20 AM,A,Landed - Delayed,7:27 AM,,6:26 AM,
Boston (BOS),Emirates,EK 6298,5:20 AM,A,Landed - Delayed,7:27 AM,,6:26 AM,
Boston (BOS),TAP Portugal,TP 8012,5:20 AM,A,Landed - Delayed,7:27 AM,,6:26 AM,
Chicago (ORD),Air Canada,AC 5205,5:20 AM,C,Landed - On-time,6:49 AM,,6:46 AM,
Chicago (ORD),United Airlines,UA 2139,5:20 AM,C,Landed - On-time,6:49 AM,,6:46 AM,
Chicago (ORD),SAS,SK 3968,5:20 AM,C,Landed - On-time,6:49 AM,,6:46 AM,
Santo Domingo (SDQ),JetBlue Airways,B6 1203,5:30 AM,A,Landed - Delayed,9:23 AM,,9:16 AM,
Fort Lauderdale (FLL),Southwest Airlines,WN 373,5:45 AM,A,Landed - On-time,8:35 AM,,8:40 AM,
Atlanta (ATL),Delta Air Lines,DL 575,6:00 AM,B,Landed - On-time,8:27 AM,,8:14 AM,
Atlanta (ATL),Aeromexico,AM 5125,6:00 AM,B,Landed - On-time,8:27 AM,,8:14 AM,
Atlanta (ATL),Virgin Atlantic,VS 4453,6:00 AM,B,Landed - On-time,8:27 AM,,8:14 AM,
Washington (DCA),NetJets Aviation,1I 515,6:00 AM,,Landed,,,,
Detroit (DTW),Delta Air Lines,DL 1652,6:00 AM,B,Landed - On-time,7:33 AM,,7:50 AM,
Detroit (DTW),Aeromexico,AM 4044,6:00 AM,B,Landed - On-time,7:33 AM,,7:50 AM,
Detroit (DTW),Virgin Atlantic,VS 3134,6:00 AM,B,Landed - On-time,7:33 AM,,7:50 AM,
Fort Lauderdale (FLL),Spirit Airlines,NK 521,6:00 AM,B,Landed - On-time,8:47 AM,,8:55 AM,
Fort Lauderdale (FLL),United Airlines,UA 1401,6:00 AM,C,Landed - Delayed,9:19 AM,,9:01 AM,
Fort Lauderdale (FLL),SAS,SK 6756,6:00 AM,C,Landed - Delayed,9:19 AM,,9:01 AM,
Houston (IAH),United Airlines,UA 2037,6:00 AM,C,Landed - On-time,8:22 AM,,8:47 AM,
Houston (IAH),Air New Zealand,NZ 6596,6:00 AM,C,Landed - On-time,8:22 AM,,8:47 AM,
Houston (IAH),SAS,SK 6820,6:00 AM,C,Landed - On-time,8:22 AM,,8:47 AM,
Los Angeles (LAX),United Airlines,UA 758,6:00 AM,C,Landed - On-time,9:20 AM,,9:06 AM,
Los Angeles (LAX),Air New Zealand,NZ 9535,6:00 AM,C,Landed - On-time,9:20 AM,,9:06 AM,
Los Angeles (LAX),Asiana Airlines,OZ 6261,6:00 AM,C,Landed - On-time,9:20 AM,,9:06 AM,
Chicago (MDW),Southwest Airlines,WN 956,6:00 AM,A,Canceled,,,7:20 AM,
Minneapolis (MSP),Delta Air Lines,DL 2805,6:00 AM,B,Landed - On-time,7:38 AM,,7:54 AM,
Minneapolis (MSP),Virgin Atlantic,VS 4441,6:00 AM,B,Landed - On-time,7:38 AM,,7:54 AM,
West Palm Beach (PBI),JetBlue Airways,B6 1143,6:00 AM,A,Landed - On-time,8:24 AM,,8:42 AM,
West Palm Beach (PBI),Emirates,EK 6919,6:00 AM,A,Landed - On-time,8:24 AM,,8:42 AM,
West Palm Beach (PBI),United Airlines,UA 1428,6:00 AM,C,Landed - On-time,8:40 AM,,8:49 AM,
West Palm Beach (PBI),Air Canada,AC 5299,6:00 AM,C,Landed - On-time,8:40 AM,,8:49 AM,
San Francisco (SFO),United Airlines,UA 1483,6:00 AM,C,Landed - On-time,9:10 AM,,9:16 AM,
San Francisco (SFO),Air New Zealand,NZ 9130,6:00 AM,C,Landed - On-time,9:10 AM,,9:16 AM,
Tampa (TPA),JetBlue Airways,B6 573,6:00 AM,A,Landed - Delayed,9:05 AM,,8:44 AM,
Tampa (TPA),Emirates,EK 6907,6:00 AM,A,Landed - Delayed,9:05 AM,,8:44 AM,
Tampa (TPA),TAP Portugal,TP 8109,6:00 AM,A,Landed - Delayed,9:05 AM,,8:44 AM,
Atlanta (ATL),United Airlines,UA 241,6:05 AM,C,Landed - Delayed,9:06 AM,,8:29 AM,
Atlanta (ATL),SAS,SK 6716,6:05 AM,C,Landed - Delayed,9:06 AM,,8:29 AM,
Austin (AUS),Republic Airlines,YX 3672,6:05 AM,A,Landed - On-time,8:43 AM,,9:32 AM,
Austin (AUS),SAS,SK 6868,6:05 AM,A,Landed - On-time,8:43 AM,,9:32 AM,
Austin (AUS),United Airlines,UA 3672,6:05 AM,A,Landed - On-time,8:43 AM,,9:32 AM,
Boston (BOS),United Airlines,UA 1629,6:05 AM,C,Landed - On-time,7:22 AM,,7:13 AM,
Boston (BOS),SAS,SK 6780,6:05 AM,C,Landed - On-time,7:22 AM,,7:13 AM,
Washington (DCA),ExpressJet,EV 4156,6:05 AM,A,Landed - On-time,7:14 AM,,7:23 AM,
Washington (DCA),United Airlines,UA 4156,6:05 AM,A,Landed - On-time,7:14 AM,,7:23 AM,
Detroit (DTW),Republic Airlines,YX 3598,6:05 AM,C,Landed - On-time,7:50 AM,,8:06 AM,
Detroit (DTW),United Airlines,UA 3598,6:05 AM,C,Landed - On-time,7:50 AM,,8:06 AM,
Dulles (IAD),CommutAir,C5 4931,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Dulles (IAD),AVIANCA,AV 2135,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Dulles (IAD),Ethiopian Airlines,ET 1387,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Dulles (IAD),United Airlines,UA 4931,6:05 AM,A,Landed - On-time,7:17 AM,,7:25 AM,
Las Vegas (LAS),Spirit Airlines,NK 757,6:10 AM,B,Landed - On-time,8:19 AM,,8:44 AM,
Raleigh/Durham (RDU),Republic Airlines,YX 3413,6:15 AM,A,Canceled,,,7:55 AM,
Raleigh/Durham (RDU),United Airlines,UA 3413,6:15 AM,A,Canceled,,,7:55 AM,
Cleveland (CLE),ExpressJet,EV 4001,6:20 AM,A,Landed - On-time,7:49 AM,,8:02 AM,
Cleveland (CLE),United Airlines,UA 4001,6:20 AM,A,Landed - On-time,7:49 AM,,8:02 AM,
Las Vegas (LAS),United Airlines,UA 1753,6:20 AM,C,Landed - On-time,8:24 AM,,8:50 AM,
Orlando (MCO),United Airlines,UA 1784,6:20 AM,C,Landed - Delayed,9:02 AM,,8:58 AM,
Punta Cana (PUJ),United Airlines,UA 1752,6:20 AM,C,Landed - On-time,9:57 AM,,10:20 AM,
Tampa (TPA),United Airlines,UA 1797,6:21 AM,C,Landed - Delayed,10:50 AM,,9:06 AM,
Tampa (TPA),SAS,SK 6892,6:21 AM,C,Landed - Delayed,10:50 AM,,9:06 AM,
Miami (MIA),American Airlines,AA 1301,6:25 AM,A,Landed - On-time,9:31 AM,,9:29 AM,
Miami (MIA),LATAM Airlines Brasil,JJ 2073,6:25 AM,A,Landed - On-time,9:31 AM,,9:29 AM,
Miami (MIA),LATAM Airlines,LA 6940,6:25 AM,A,Landed - On-time,9:31 AM,,9:29 AM,
Pittsburgh (PIT),Republic Airlines,YX 3600,6:25 AM,A,Canceled,,,7:53 AM,
Pittsburgh (PIT),United Airlines,UA 3600,6:25 AM,A,Canceled,,,7:53 AM,
Toronto (YYZ),Air Canada,AC 521,6:25 AM,A,Landed - On-time,7:55 AM,,8:00 AM,
Toronto (YYZ),United Airlines,UA 8505,6:25 AM,A,Landed - On-time,7:55 AM,,8:00 AM,
Orlando (MCO),JetBlue Airways,B6 27,6:30 AM,A,Landed - Delayed,9:23 AM,,9:11 AM,
Orlando (MCO),Emirates,EK 6917,6:30 AM,A,Landed - Delayed,9:23 AM,,9:11 AM,
Omaha (OMA),Republic Airlines,YX 3502,6:30 AM,C,Landed - On-time,8:21 AM,,8:57 AM,
Omaha (OMA),Air Canada,AC 3101,6:30 AM,C,Landed - On-time,8:21 AM,,8:57 AM,
Omaha (OMA),United Airlines,UA 3502,6:30 AM,C,Landed - On-time,8:21 AM,,8:57 AM,
Chicago (ORD),United Airlines,UA 2001,6:30 AM,C,Landed - On-time,7:57 AM,,7:55 AM,
Chicago (ORD),Air Canada,AC 5925,6:30 AM,C,Landed - On-time,7:57 AM,,7:55 AM,
Chicago (ORD),SAS,SK 3942,6:30 AM,C,Landed - On-time,7:57 AM,,7:55 AM,
Seattle (SEA),Alaska Airlines,AS 31,6:30 AM,A,Landed - Delayed,9:54 AM,,9:23 AM,
Charlotte (CLT),American Airlines,AA 1762,6:35 AM,A,Landed - Delayed,10:56 AM,,8:28 AM,
Fort Myers (RSW),JetBlue Airways,B6 811,6:36 AM,A,Canceled,,,9:39 AM,
Fort Myers (RSW),Emirates,EK 6903,6:36 AM,A,Canceled,,,9:39 AM,
